,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
10,/cbb/boxscores/2013-03-22-cincinnati.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/creighton/men/2013.html,Creighton,/cbb/conferences/mvc/men/2013.html,MVC,16.43,L,63,67,,22,12,L 2,Wells Fargo Center,/cbb/schools/cincinnati/men/2013.html
11,/cbb/boxscores/2013-03-22-colorado.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/illinois/men/2013.html,Illinois,/cbb/conferences/big-ten/men/2013.html,Big Ten,13.18,L,49,57,,21,12,L 2,Frank Erwin Center,/cbb/schools/colorado/men/2013.html
12,/cbb/boxscores/2013-03-21-colorado-state.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/missouri/men/2013.html,Missouri,/cbb/conferences/sec/men/2013.html,SEC,15.42,W,84,72,,26,8,W 1,Rupp Arena,/cbb/schools/colorado-state/men/2013.html
13,/cbb/boxscores/2013-03-23-colorado-state.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/louisville/men/2013.html,Louisville,/cbb/conferences/big-east/men/2013.html,Big East,24.82,L,56,82,,26,9,L 1,Rupp Arena,/cbb/schools/colorado-state/men/2013.html
14,/cbb/boxscores/2013-03-24-creighton.html,"Sun, Mar 24, 2013",NCAA,N,/cbb/schools/duke/men/2013.html,Duke,/cbb/conferences/acc/men/2013.html,ACC,21.46,L,50,66,,28,8,L 1,Wells Fargo Center,/cbb/schools/creighton/men/2013.html
15,/cbb/boxscores/2013-03-21-davidson.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,L,58,59,,26,8,L 1,Rupp Arena,/cbb/schools/davidson/men/2013.html
16,/cbb/boxscores/2013-03-29-duke.html,"Fri, Mar 29, 2013",NCAA,N,/cbb/schools/michigan-state/men/2013.html,Michigan State,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.63,W,71,61,,30,5,W 3,Lucas Oil Stadium,/cbb/schools/duke/men/2013.html
17,/cbb/boxscores/2013-03-31-duke.html,"Sun, Mar 31, 2013",NCAA,N,/cbb/schools/louisville/men/2013.html,Louisville,/cbb/conferences/big-east/men/2013.html,Big East,24.82,L,63,85,,30,6,L 1,Lucas Oil Stadium,/cbb/schools/duke/men/2013.html
18,/cbb/boxscores/2013-03-22-florida.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/northwestern-state/men/2013.html,Northwestern State,/cbb/conferences/southland/men/2013.html,Southland,0.39,W,79,47,,27,7,W 1,Frank Erwin Center,/cbb/schools/florida/men/2013.html
19,/cbb/boxscores/2013-03-24-florida.html,"Sun, Mar 24, 2013",NCAA,N,/cbb/schools/minnesota/men/2013.html,Minnesota,/cbb/conferences/big-ten/men/2013.html,Big Ten,16.84,W,78,64,,28,7,W 2,Frank Erwin Center,/cbb/schools/florida/men/2013.html
20,/cbb/boxscores/2013-03-29-florida.html,"Fri, Mar 29, 2013",NCAA,N,/cbb/schools/florida-gulf-coast/men/2013.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,3.01,W,62,50,,29,7,W 3,Cowboy's Stadium,/cbb/schools/florida/men/2013.html
21,/cbb/boxscores/2013-03-31-florida.html,"Sun, Mar 31, 2013",NCAA,N,/cbb/schools/michigan/men/2013.html,Michigan,/cbb/conferences/big-ten/men/2013.html,Big Ten,21.29,L,59,79,,29,8,L 1,Cowboy's Stadium,/cbb/schools/florida/men/2013.html
22,/cbb/boxscores/2013-03-22-florida-gulf-coast.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/georgetown/men/2013.html,Georgetown,/cbb/conferences/big-east/men/2013.html,Big East,15.86,W,78,68,,25,10,W 6,Wells Fargo Center,/cbb/schools/florida-gulf-coast/men/2013.html
23,/cbb/boxscores/2013-03-24-florida-gulf-coast.html,"Sun, Mar 24, 2013",NCAA,N,/cbb/schools/san-diego-state/men/2013.html,San Diego State,/cbb/conferences/mwc/men/2013.html,MWC,12.95,W,81,71,,26,10,W 7,Wells Fargo Center,/cbb/schools/florida-gulf-coast/men/2013.html
24,/cbb/boxscores/2013-03-21-gonzaga.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/southern/men/2013.html,Southern,/cbb/conferences/swac/men/2013.html,SWAC,-2.62,W,64,58,,32,2,W 15,EnergySolutions Arena,/cbb/schools/gonzaga/men/2013.html
25,/cbb/boxscores/2013-03-23-gonzaga.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/wichita-state/men/2013.html,Wichita State,/cbb/conferences/mvc/men/2013.html,MVC,14.68,L,70,76,,32,3,L 1,EnergySolutions Arena,/cbb/schools/gonzaga/men/2013.html
26,/cbb/boxscores/2013-03-21-harvard.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/new-mexico/men/2013.html,New Mexico,/cbb/conferences/mwc/men/2013.html,MWC,13.24,W,68,62,,20,9,W 3,EnergySolutions Arena,/cbb/schools/harvard/men/2013.html
